"Boundary
Code",Road Code,Road Name,Selection
BC170,R00029NR,Dancalan-Candoni-Damutan Valley Rd,1
BC157,R00029PN,Maayon-Jct Bailan Rd,1
BC124,R00029PW,Culandanum-Panalingaan Cross Country Rd,1
BC196,R00029SM,Poblacion-Barangay Bonifacio Rd,1
BC173,R00030BH,Ubay By-Pass Rd,1
BC183,R00030CB,B Rodriguez Ext,1
BC193,R00030LT,Calubian Jct-Sn Isidro-Tabango-Villaba-Palompon Rd,1
BC170,R00030NR,Candoni-Sipalay Rd,1
BC196,R00030SM,Poblacion-Barangay Trujillo Rd,1
BC172,R00031BH,Antequera-San Isidro-Libertad (Tubigon) Rd,1
BC173,R00031BH,Antequera-San Isidro-Libertad (Tubigon) Rd,1
BC193,R00031LT,Cabunga-an-Tabunok-Consuegra Rd,1
BC146,R00031LZ,Iriga City-Masoli Rd,1
BC158,R00031PN,Tapaz-Jamindan-Altavaz Rd,1
BC198,R00031SM,J Luna St,1
BC172,R00032BH,Anos Fonacier Circumferential Rd (Dauis-Panglao),1
BC184,R00032CB,V Rama-Tres de Abril St,1
BC193,R00032LT,Sto Rosario-Villaba Rd,1
BC194,R00032LT,Sto Rosario-Villaba Rd,1
BC146,R00032LZ,Nabua-Balatan Rd,1
BC158,R00032PN,Capiz-Aklan Rd,1
BC198,R00032SM,Navarro St,1
BC174,R00033BH,The President Carlos P. Garcia Circumferential Rd,1
BC173,R00033BH,The President Carlos P. Garcia Circumferential Rd,1
BC172,R00033BH,The President Carlos P. Garcia Circumferential Rd,1
BC193,R00033LT,Tabing-Kawayan-Sta Rosa-Lawis-Tabango Rd,1
BC139,R00033LZ,Daang Maharlika Jct-Legazpi-Sto Domingo-Tabaco-Camarines Sur Bdry Rd,1
BC138,R00033LZ,Daang Maharlika Jct-Legazpi-Sto Domingo-Tabaco-Camarines Sur Bdry Rd,1
BC156,R00033NR,Bacolod-Sn Carlos Rd,1
BC158,R00033PN,Sigma-Mambusao-Jamindan Rd,1
BC198,R00033SM,Rueda St,1
BC184,R00034CB,Carlock St,1
BC138,R00034LZ,Ligao-Tabaco Rd,1
BC140,R00034LZ,Ligao-Tabaco Rd,1
BC156,R00034NR,Bacolod Circumferential Rd,1
BC158,R00034PN,Mambusao-Imbug Rd,1
BC198,R00034SM,Gomez St,1
BC184,R00035CB,C Padilla St,1
BC194,R00035LT,Ormoc-Albuera Div Rd,1
BC140,R00035LZ,Ligao-Pio Duran Rd,1
BC156,R00035NR,Bacolod-City Bdry Rd,1
BC196,R00035SM,Poblacion-Barangay Cabacungan Rd,1
BC183,R00036CB,Sanciangko St,1
BC184,R00036CB,Sanciangko St,1
BC194,R00036LT,Libungao-Matag-ob-Palompon Rd,1
BC156,R00036NR,Sto Niño-Banago Rd (North),1
BC157,R00036PN,Jct Natl Rd-Mi-anay-Duyoc-Calaan-Panitan Rd,1
BC158,R00036PN,Jct Natl Rd-Mi-anay-Duyoc-Calaan-Panitan Rd,1
BC196,R00036SM,Pob-Gengarog-Tubigdanao-Sn Lorenzo-Bonglas-Mandugang Rd,1
BC183,R00037CB,Borromeo St,1
BC194,R00037LT,Palompon-Isabel-Merida-Ormoc Rd,1
BC140,R00037LZ,Matacon-Libon-Polangui Jct Rd,1
BC156,R00037NR,Sto Niño-Banago Rd (South),1
BC157,R00037PN,Roxas City Bdry-Panitan-Bailan Rd,1
BC198,R00037SM,Calbayog-Catarman Rd,1
BC140,R00038LZ,Libon-Bacolod-Sn Vicente-Marocmoc-Buga Rd,1
BC156,R00038NR,North Capitol Rd,1
BC197,R00038SM,Pambujan Old Rd,1
BC183,R00039CB,Osmeña Blvd,1
BC194,R00039LT,Villaba-Palompon Rd,1
BC140,R00039LZ,Albay West Coast Rd,1
BC156,R00039NR,South Capitol Rd,1
BC160,R00039PN,Tiolas-Sinugbuhan Rd,1
BC198,R00039SM,Dimakiling-JP Rizal St,1
BC183,R00040CB,Colon St,1
BC194,R00040LT,Merida-Lundag-Puting Bato-Consolacion-Isabel Rd,1
BC122,R00040MR,CSR Jct-Minas Rd,1
BC156,R00040NR,East Capitol Rd,1
BC160,R00040PN,Miagao Cadre Rd,1
BC197,R00040SM,Sn Policarpo-Arteche-Lapinig Rd,1
BC183,R00041CB,Mabini-Lopez Jaena St,1
BC061,R00041IY,Mayan-Mauyen Airport Rd,1
BC194,R00041LT,Ormoc-Cadre By-Pass (Camp Downes),1
BC140,R00041LZ,Sn Antonio Betts St,1
BC156,R00041NR,Cottage Rd,1
BC160,R00041PN,Miagao-Igbaras Rd,1
BC198,R00041SM,Calbayog Old National Route,1
BC183,R00042CB,MJ Cuenco Ave,1
BC194,R00042LT,Ormoc-Lake Imelda Rd,1
BC138,R00042LZ,Mt Mayon Park Rd,1
BC156,R00042NR,Plaza-Capitol Rd,1
BC160,R00042PN,Guimbal-Tubungan Rd,1
BC199,R00042SM,Bagacay Old Route,1
BC183,R00043CB,MC Briones St,1
BC194,R00043LT,Kananga-Tungonan Hot Spring Rd,1
BC139,R00043LZ,Comun-Inarado-Peñafrancia Rd,1
BC156,R00043NR,Lacson St,1
