"Future
Section ID","Future
Bridge ID","Future
Bridge Name",Selection
FS30110MN,FB47407MN,Langan Br.,0
FS30110MN,FB47413MN,Simong Br.,0
FS20285MN,FB47420MN,Busaon Br.,0
FS30110MN,FB47412MN,Pipisan Br.,0
FS00026MN,FB00018MN,Bridge 3,0
FS00026MN,FB00017MN,Bridge 2,0
FS00026MN,FB00019MN,Bridge 4,0
FS00026MN,FB00016MN,Bridge 1,0
FS00026MN,FB00020MN,Bridge 5,0
FS00026MN,FB00021MN,Bridge 6,0
FS30110MN,FB47406MN,Liboganon Br.,0
FS30110MN,FB47408MN,Mangutkot Br.,0
FS30110MN,FB47415MN,Casagayan Br.,0
FS30110MN,FB47411MN,Lumundong Br.,0
S00060MN,FB02284MN,Davao del Norte Viaduct,0
FS30110MN,FB47409MN,Manalujong Br.,0
FS20285MN,FB47417MN,Bincungan Br. I,0
FS00027MN,FB00023MN,Bridge 2,0
FS00027MN,FB00022MN,Bridge 1,0
FS00027MN,FB00024MN,Bridge 3,0
FS31601MN,FB47401MN,Bridge 1,0
FS31601MN,FB47402MN,Bridge 2,0
FS20285MN,FB47418MN,Bincungan Br. II,0
FS20285MN,FB47419MN,Libuganon Br. II,0
FS20285MN,FB47421MN,Libuganon Br. III,0
FS20283MN,FB20283MN,Bridge 1,0
FS20283MN,FB20284MN,Bridge 2,0
FS20283MN,FB20285MN,Bridge 3,0
FS20283MN,FB20286MN,Bridge 4,0
FS31601MN,FB47403MN,Mamacao Br.,0
FS00802MN,FB00616MN,Bridge 3,0
FS00802MN,FB00615MN,Bridge 2,0
FS20283MN,FB47405MN,Mangani Br.,0
FS00802MN,FB00614MN,Gupitan Br.,0
FS20283MN,FB47404MN,Lasang Br.II,0
FS20283MN,FB47422MN,Labo-Mangani Br.,0
FS20288MN,FB10888MN,Bridge 1,0
FS70005MN,FB70005MN,Bridge 1,0
FS20288MN,FB47416MN,Kasilak Br.,0
FS70000MN,FB70002MN,"Tagum City Flyover along Agusan-Davao Road, Package 2, Davao del Norte",0
FS70000MN,FB70001MN,"Tagum City Flyover along Agusan-Davao Road, Package 1, Davao del Norte",0
